experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Swimmer-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: FFNN
	hidden_layers: [5, 5]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: True
elapsed_time: 10875.282082557678

Genome Size: 87
Free Parameters: {'individual_size': 87}
Inputs: 8
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -46.99        -4.16         49.55         56.74         9.55          
1       -52.63        -7.62         53.07         56.74         5.30          
2       -71.15        -4.76         167.04        166.84        5.16          
3       -38.40        -2.83         114.57        166.84        5.13          
4       -115.08       -3.77         198.56        199.85        5.15          
5       -110.15       -6.11         62.88         199.85        5.10          
6       -81.22        -6.48         192.91        199.85        5.06          
7       -48.25        -5.19         199.71        199.85        5.21          
8       -155.79       -3.06         49.62         199.85        4.89          
9       -137.14       -3.20         96.76         199.85        4.99          
10      -53.60        -5.30         77.74         199.85        5.08          
11      -108.22       -5.10         47.49         199.85        5.16          
12      -99.79        -2.85         75.85         199.85        4.93          
13      -126.68       -1.12         65.73         199.85        5.21          
14      -44.78        4.71          60.51         199.85        5.04          
15      -76.19        5.63          144.98        199.85        5.07          
16      -47.73        4.03          41.71         199.85        5.35          
17      -123.64       3.36          108.68        199.85        5.17          
18      -137.23       2.06          177.70        199.85        5.06          
19      -90.49        7.42          100.23        199.85        5.47          
20      -39.55        6.84          71.30         199.85        5.22          
21      -65.27        5.13          83.18         199.85        5.11          
22      -125.60       7.86          119.66        199.85        5.18          
23      -59.11        7.62          152.08        199.85        5.09          
24      -84.82        6.73          133.11        199.85        5.02          
25      -94.19        5.20          119.17        199.85        5.17          
26      -81.48        7.47          71.93         199.85        5.18          
27      -122.29       12.21         142.22        199.85        5.16          
28      -83.89        12.28         147.11        199.85        5.14          
29      -109.50       14.51         192.47        199.85        5.03          
30      -162.18       20.88         204.60        199.85        4.96          
31      -149.10       14.92         204.54        205.50        4.88          
32      -109.25       13.39         159.44        205.50        4.82          
33      -114.04       21.29         289.00        292.18        4.80          
34      -104.43       16.50         225.94        292.18        4.93          
35      -136.29       15.96         261.50        292.18        4.98          
36      -111.69       22.26         214.10        292.18        4.82          
37      -130.06       18.90         240.85        292.18        4.79          
38      -84.71        25.56         259.31        292.18        4.90          
39      -77.78        31.60         256.12        292.18        4.79          
40      -95.45        30.76         234.45        292.18        4.82          
41      -107.70       40.98         294.32        292.18        4.76          
42      -133.42       33.33         247.97        292.18        4.68          
43      -72.00        30.77         244.72        292.18        4.77          
44      -94.80        33.78         236.60        292.18        4.71          
45      -75.59        43.33         228.14        292.18        4.63          
46      -75.54        36.92         265.11        292.18        4.73          
47      -127.71       42.45         249.01        292.18        4.70          
48      -90.16        48.29         306.00        310.96        4.91          
49      -164.00       49.68         265.21        310.96        4.58          
50      -81.12        51.23         265.82        310.96        4.63          
51      -186.99       68.52         324.03        330.11        4.47          
52      -109.20       56.89         325.59        330.11        4.66          
53      -78.23        61.98         341.33        338.35        4.62          
54      -92.53        58.38         329.08        338.35        4.58          
55      -64.20        55.56         300.00        338.35        4.58          
56      -57.15        84.24         321.12        338.35        4.60          
57      -85.75        71.49         300.01        338.35        4.57          
58      -98.79        59.52         325.82        338.35        4.59          
59      -85.66        72.61         301.41        338.35        4.55          
60      -63.53        78.92         305.47        338.35        4.54          
61      -59.16        88.53         318.77        338.35        4.60          
62      -141.76       85.26         330.48        338.35        4.43          
63      -66.76        106.63        329.83        338.35        4.47          
64      -57.96        87.83         331.76        338.35        4.62          
65      -112.50       107.53        333.56        338.35        4.34          
66      -110.84       114.90        326.86        338.35        4.47          
67      -60.63        118.43        328.99        338.35        4.57          
68      -66.06        93.23         318.77        338.35        4.47          
69      -83.04        109.45        346.99        345.14        4.40          
70      -73.84        115.94        330.13        345.14        4.43          
71      -113.21       136.19        345.50        345.14        4.45          
72      -72.02        153.20        337.79        345.14        4.35          
73      -39.12        140.27        336.02        345.14        4.44          
74      -64.69        123.53        342.51        345.14        4.51          
75      -70.35        130.09        348.99        350.34        4.43          
76      -54.43        139.53        322.20        350.34        4.34          
77      -65.16        155.97        321.56        350.34        4.47          
78      -105.19       153.84        326.22        350.34        4.40          
79      -108.61       147.99        335.10        350.34        4.29          
80      -70.83        163.57        346.86        350.34        4.50          
81      -91.91        165.03        349.72        350.34        4.57          
82      -50.62        174.56        339.45        350.34        4.31          
83      -54.23        185.04        344.99        350.34        4.42          
84      -61.63        179.52        347.90        350.34        4.31          
85      -79.43        195.38        345.32        350.36        4.28          
86      -68.22        204.86        351.84        350.36        4.48          
87      -66.20        186.20        355.47        356.96        4.43          
88      -125.92       212.33        354.03        356.96        4.39          
89      -45.64        227.25        348.98        356.96        4.34          
90      -82.44        215.58        353.39        356.96        4.32          
91      -36.92        224.85        350.91        356.96        4.33          
92      -65.79        210.79        354.26        356.96        4.32          
93      -94.11        231.90        356.11        356.96        4.35          
94      -59.29        233.33        355.74        356.96        4.49          
95      -97.32        222.22        351.73        356.96        4.33          
96      -71.90        221.55        348.18        356.96        4.43          
97      -79.00        240.92        352.94        356.96        4.26          
98      -31.00        244.40        352.77        356.96        4.33          
99      -59.21        243.97        352.10        356.96        4.30          
100     -83.49        228.94        353.93        356.96        4.32          
