experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Reacher-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
elapsed_time: 1598.3777947425842

Genome Size: 90
Free Parameters: {'V': 55, 'W': 25, 'T': 10}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -107.85       -97.85        -18.68        -16.19        7.82          
1       -107.42       -95.59        -17.22        -16.19        0.68          
2       -106.99       -95.24        -14.65        -15.44        0.73          
3       -107.72       -95.51        -13.57        -15.12        0.80          
4       -108.32       -91.98        -12.88        -10.74        0.68          
5       -106.92       -94.33        -12.55        -10.74        0.68          
6       -108.52       -93.79        -11.58        -10.74        0.70          
7       -108.26       -93.80        -13.29        -10.74        0.67          
8       -108.52       -90.05        -11.38        -10.74        0.68          
9       -107.26       -89.19        -9.69         -10.74        0.65          
10      -109.90       -91.34        -13.05        -10.74        0.68          
11      -109.91       -89.16        -14.87        -10.74        0.67          
12      -112.39       -88.47        -13.81        -10.74        0.66          
13      -108.72       -88.87        -13.35        -10.74        0.61          
14      -107.62       -89.27        -10.10        -10.74        0.62          
15      -110.50       -91.32        -14.08        -10.74        0.71          
16      -106.74       -89.25        -9.81         -10.74        0.63          
17      -107.80       -90.35        -12.05        -10.74        0.65          
18      -106.33       -89.38        -14.47        -10.74        0.67          
19      -107.36       -90.25        -13.52        -10.74        0.70          
20      -111.99       -89.97        -13.19        -10.74        0.62          
21      -109.50       -91.63        -17.16        -10.74        0.67          
22      -108.26       -92.82        -19.24        -10.74        0.65          
23      -110.11       -87.60        -11.48        -10.74        0.62          
24      -107.65       -87.72        -14.37        -10.74        0.66          
25      -107.83       -86.97        -10.87        -10.74        0.64          
26      -109.68       -89.43        -16.31        -10.74        0.61          
27      -109.19       -86.22        -14.17        -10.74        0.62          
28      -106.36       -81.93        -9.68         -10.74        0.63          
29      -107.00       -82.23        -11.57        -10.74        0.64          
30      -109.19       -83.51        -13.97        -10.74        0.72          
31      -107.40       -83.36        -11.31        -10.74        0.61          
32      -108.86       -82.47        -10.67        -10.18        0.66          
33      -109.29       -84.93        -11.15        -10.18        0.70          
34      -109.31       -77.31        -13.20        -10.18        0.62          
35      -106.19       -74.94        -9.71         -10.18        0.70          
36      -108.26       -74.29        -7.88         -10.18        0.73          
37      -105.09       -74.85        -8.14         -9.60         0.72          
38      -108.39       -75.88        -11.07        -9.60         0.64          
39      -108.86       -73.68        -11.42        -9.60         0.65          
40      -107.11       -70.57        -11.02        -9.60         0.63          
41      -105.02       -63.66        -10.93        -9.60         0.60          
42      -104.73       -65.08        -9.60         -9.60         0.63          
43      -110.81       -69.90        -10.28        -9.60         0.62          
44      -109.16       -63.40        -10.10        -9.60         0.67          
45      -107.39       -64.82        -11.26        -9.60         0.64          
46      -108.86       -61.64        -8.86         -9.60         0.62          
47      -112.29       -59.53        -9.23         -9.60         0.67          
48      -107.39       -59.07        -9.83         -9.60         0.62          
49      -103.76       -52.95        -7.31         -9.60         0.59          
50      -107.30       -60.50        -10.16        -9.60         0.70          
51      -103.24       -56.29        -9.12         -9.60         0.62          
52      -105.95       -55.90        -9.58         -9.60         0.66          
53      -105.44       -52.47        -10.32        -9.60         0.63          
54      -105.78       -49.34        -10.54        -9.60         0.69          
55      -106.52       -53.08        -10.36        -9.60         0.67          
56      -104.69       -50.22        -8.24         -9.60         0.66          
57      -103.83       -52.00        -9.15         -9.60         0.63          
58      -103.57       -43.97        -8.86         -9.60         0.67          
59      -102.88       -45.00        -9.74         -9.60         0.63          
60      -104.76       -44.19        -6.56         -9.60         0.64          
61      -103.87       -40.78        -9.27         -9.60         0.67          
62      -102.29       -39.63        -7.95         -9.60         0.60          
63      -102.22       -36.48        -5.64         -9.60         0.58          
64      -103.18       -42.81        -8.60         -9.60         0.66          
65      -102.08       -44.14        -5.52         -9.60         0.65          
66      -105.35       -48.53        -8.88         -9.60         0.60          
67      -104.09       -48.74        -11.22        -9.60         0.64          
68      -104.95       -45.21        -4.19         -9.60         0.68          
69      -104.92       -44.60        -3.24         -9.60         0.63          
70      -103.03       -48.44        -9.13         -9.16         0.61          
71      -102.84       -40.31        -10.53        -9.16         0.65          
72      -104.23       -35.99        -7.03         -9.16         0.59          
73      -105.18       -37.92        -11.04        -9.16         0.58          
74      -103.06       -37.79        -9.70         -9.16         0.62          
75      -103.31       -36.88        -8.10         -9.16         0.63          
76      -102.13       -33.58        -6.35         -9.16         0.59          
77      -105.68       -38.13        -9.30         -9.16         0.63          
78      -103.77       -41.91        -8.61         -9.16         0.67          
79      -103.42       -40.65        -7.26         -9.07         0.60          
80      -105.08       -43.01        -8.02         -9.07         0.68          
81      -103.85       -45.06        -7.15         -9.07         0.68          
82      -105.30       -45.35        -9.39         -9.07         0.66          
83      -104.73       -43.02        -9.72         -9.07         0.64          
84      -105.52       -50.61        -8.30         -9.07         0.62          
85      -104.29       -46.13        -10.05        -9.07         0.65          
86      -105.78       -49.35        -7.68         -9.07         0.62          
87      -105.41       -47.45        -7.48         -9.07         0.64          
88      -104.79       -42.93        -7.04         -9.07         0.64          
89      -104.89       -47.94        -9.96         -9.07         0.62          
90      -104.28       -41.68        -9.64         -9.07         0.67          
91      -107.64       -44.05        -11.21        -9.07         0.69          
92      -105.41       -51.20        -9.91         -9.07         0.62          
93      -106.64       -50.12        -10.11        -9.07         0.61          
94      -105.49       -45.51        -7.65         -9.07         0.70          
95      -102.37       -44.80        -8.17         -9.07         0.62          
96      -103.85       -43.41        -9.80         -9.07         0.69          
97      -106.03       -38.63        -6.78         -9.07         0.65          
98      -104.22       -41.49        -9.09         -9.07         0.63          
99      -103.35       -36.80        -8.62         -9.07         0.62          
100     -102.01       -39.97        -8.59         -9.07         0.59          
101     -105.18       -42.37        -8.94         -9.07         0.62          
102     -102.73       -35.49        -4.95         -9.07         0.65          
103     -103.17       -32.68        -6.68         -9.07         0.64          
104     -99.16        -33.04        -6.32         -9.07         0.60          
105     -101.69       -39.33        -9.78         -9.07         0.60          
106     -105.28       -37.41        -10.26        -9.07         0.64          
107     -103.16       -41.86        -8.93         -9.07         0.69          
108     -105.45       -38.09        -10.16        -9.07         0.64          
109     -106.16       -40.70        -10.19        -9.07         0.61          
110     -102.89       -39.28        -5.84         -9.07         0.62          
111     -101.73       -35.28        -7.49         -9.07         0.64          
112     -103.81       -38.42        -5.64         -9.07         0.62          
113     -101.49       -41.44        -7.93         -9.07         0.63          
114     -107.77       -42.18        -7.95         -9.07         0.62          
115     -105.06       -42.13        -9.25         -9.07         0.62          
116     -106.82       -43.31        -8.76         -9.07         0.63          
117     -105.59       -41.32        -8.71         -9.07         0.62          
118     -101.87       -41.40        -8.28         -9.07         0.58          
119     -104.68       -44.40        -8.96         -9.07         0.63          
120     -102.43       -37.91        -8.95         -9.07         0.62          
121     -104.82       -39.81        -8.30         -8.97         0.68          
122     -101.45       -34.37        -8.14         -8.97         0.63          
123     -102.97       -40.58        -7.76         -8.97         0.66          
124     -103.26       -39.07        -9.37         -8.97         0.63          
125     -102.50       -39.34        -9.97         -8.84         0.65          
126     -102.44       -39.16        -6.55         -8.84         0.61          
127     -104.92       -34.54        -7.40         -8.84         0.61          
128     -99.93        -29.74        -7.35         -8.84         0.67          
129     -102.59       -32.13        -7.71         -8.84         0.61          
130     -102.62       -29.93        -10.40        -8.84         0.62          
131     -102.37       -29.55        -9.79         -8.84         0.65          
132     -98.59        -27.26        -7.49         -8.84         0.66          
133     -102.54       -25.40        -9.09         -8.84         0.62          
134     -101.59       -25.40        -2.95         -8.84         0.60          
135     -101.17       -26.22        -8.71         -8.84         0.59          
136     -99.09        -20.30        -7.68         -8.84         0.61          
137     -101.57       -25.33        -7.52         -8.84         0.64          
138     -97.45        -24.22        -8.79         -8.84         0.64          
139     -102.34       -22.15        -5.25         -8.84         0.64          
140     -100.74       -23.38        -7.26         -8.84         0.63          
141     -101.86       -25.32        -9.81         -8.84         0.67          
142     -98.37        -24.90        -8.98         -8.84         0.60          
143     -97.47        -24.60        -7.78         -8.84         0.62          
144     -92.80        -21.93        -8.40         -8.84         0.61          
145     -103.83       -27.43        -9.36         -8.84         0.64          
146     -96.14        -18.74        -6.66         -8.84         0.62          
147     -98.84        -21.47        -7.21         -8.84         0.64          
148     -98.08        -25.64        -7.82         -8.84         0.61          
149     -97.55        -20.53        -8.07         -8.84         0.69          
150     -94.78        -18.50        -9.01         -8.84         0.64          
151     -96.61        -19.73        -6.22         -8.84         0.62          
152     -98.23        -19.25        -8.49         -8.84         0.63          
153     -99.63        -23.16        -7.44         -8.84         0.63          
154     -98.55        -23.54        -10.51        -8.84         0.68          
155     -104.16       -27.47        -10.19        -8.84         0.64          
156     -102.18       -24.30        -8.52         -8.84         0.61          
157     -96.20        -20.66        -4.64         -8.84         0.66          
158     -95.89        -19.32        -5.69         -8.84         0.70          
159     -95.79        -19.02        -6.52         -8.84         0.65          
160     -97.54        -22.26        -10.39        -8.84         0.62          
161     -92.45        -27.86        -11.22        -8.84         0.60          
162     -96.08        -21.00        -7.83         -8.84         0.66          
163     -101.55       -24.31        -6.91         -8.84         0.59          
164     -104.70       -26.93        -9.48         -8.84         0.67          
165     -102.50       -28.70        -9.82         -8.84         0.65          
166     -96.22        -25.66        -5.39         -8.84         0.67          
167     -103.20       -27.00        -8.97         -8.84         0.58          
168     -97.74        -19.70        -7.80         -8.84         0.64          
169     -95.32        -26.03        -8.63         -8.84         0.68          
170     -97.83        -30.18        -8.06         -8.84         0.64          
171     -100.40       -34.63        -7.87         -8.84         0.65          
172     -105.35       -31.99        -8.55         -8.84         0.64          
173     -104.17       -25.15        -7.17         -8.84         0.64          
174     -103.24       -25.73        -8.10         -8.84         0.64          
175     -104.13       -28.91        -8.69         -8.84         0.63          
176     -101.65       -28.21        -8.08         -8.84         0.63          
177     -96.61        -30.59        -6.14         -8.84         0.69          
178     -101.37       -29.83        -9.17         -8.84         0.65          
179     -96.79        -28.93        -8.46         -8.84         0.66          
180     -103.23       -25.98        -6.37         -8.84         0.62          
181     -101.15       -28.98        -9.02         -8.84         0.73          
182     -102.40       -29.24        -7.06         -8.84         0.68          
183     -100.32       -32.40        -8.23         -8.84         0.62          
184     -98.87        -29.92        -8.22         -8.84         0.61          
185     -102.98       -33.90        -9.95         -8.84         0.66          
186     -102.22       -34.28        -7.48         -8.84         0.64          
187     -103.32       -32.88        -8.53         -8.84         0.63          
188     -103.57       -27.96        -9.14         -8.84         0.64          
189     -101.95       -30.41        -9.15         -8.84         0.59          
190     -94.57        -23.42        -4.78         -8.84         0.64          
191     -100.66       -24.87        -6.51         -8.84         0.62          
192     -101.61       -25.15        -10.22        -8.84         0.63          
193     -100.70       -26.81        -8.50         -8.58         0.68          
194     -91.41        -18.18        -4.89         -8.58         0.59          
195     -99.67        -17.74        -4.96         -8.58         0.67          
196     -96.26        -19.96        -8.77         -8.58         0.58          
197     -81.87        -15.27        -5.81         -8.58         0.62          
198     -99.63        -17.15        -6.93         -8.58         0.64          
199     -92.37        -16.19        -7.04         -8.58         0.61          
200     -88.20        -20.16        -8.44         -8.58         0.65          
201     -96.76        -22.43        -6.05         -8.58         0.65          
202     -98.77        -26.38        -9.69         -8.58         0.63          
203     -98.95        -29.98        -9.27         -8.58         0.59          
204     -98.30        -26.81        -6.57         -8.58         0.64          
205     -100.08       -25.36        -6.74         -8.58         0.63          
206     -99.53        -29.74        -7.91         -8.58         0.67          
207     -100.73       -21.39        -7.47         -8.58         0.66          
208     -96.41        -20.84        -8.19         -8.58         0.66          
209     -97.85        -18.45        -7.65         -8.58         0.66          
210     -90.00        -19.78        -5.61         -8.58         0.61          
211     -85.46        -17.53        -8.27         -8.58         0.69          
212     -94.59        -17.53        -6.85         -8.58         0.63          
213     -94.07        -23.47        -12.32        -8.58         0.66          
214     -92.76        -18.73        -9.38         -8.58         0.63          
215     -94.89        -18.80        -5.08         -8.58         0.63          
216     -96.48        -18.08        -6.84         -8.58         0.71          
217     -97.66        -23.00        -9.35         -8.58         0.63          
218     -93.48        -18.37        -8.26         -8.58         0.60          
219     -100.44       -22.07        -7.40         -8.58         0.62          
220     -91.56        -20.82        -9.06         -8.58         0.62          
221     -95.53        -18.38        -7.92         -8.58         0.65          
222     -91.19        -19.34        -8.24         -8.58         0.61          
223     -95.95        -17.03        -8.34         -8.58         0.62          
224     -86.86        -19.64        -8.55         -8.58         0.64          
225     -80.26        -18.50        -7.68         -8.58         0.63          
226     -90.60        -14.89        -6.24         -8.58         0.61          
227     -102.77       -16.70        -7.22         -8.58         0.64          
228     -97.41        -18.04        -7.70         -8.43         0.63          
229     -82.91        -13.23        -5.71         -8.43         0.64          
230     -88.77        -17.93        -9.01         -8.43         0.64          
231     -97.87        -20.11        -7.82         -8.43         0.63          
232     -95.19        -24.20        -7.67         -8.43         0.66          
233     -100.47       -20.29        -4.36         -8.43         0.62          
234     -81.12        -15.78        -6.28         -8.43         0.60          
235     -99.87        -19.19        -7.84         -8.43         0.65          
236     -93.54        -18.29        -5.02         -8.43         0.66          
237     -86.57        -16.57        -6.52         -8.43         0.64          
238     -98.10        -18.51        -8.21         -8.43         0.63          
239     -101.49       -22.88        -8.92         -8.43         0.69          
240     -89.00        -18.08        -3.37         -8.43         0.66          
241     -94.01        -19.30        -6.99         -8.43         0.65          
242     -91.60        -24.82        -10.09        -8.43         0.64          
243     -100.02       -21.65        -6.90         -8.43         0.64          
244     -99.43        -21.36        -8.30         -8.43         0.66          
245     -101.64       -20.17        -6.37         -8.43         0.66          
246     -104.73       -23.59        -7.72         -8.43         0.64          
247     -101.58       -22.54        -10.01        -8.43         0.59          
248     -96.07        -24.38        -7.90         -8.43         0.62          
249     -103.24       -24.42        -6.87         -8.43         0.62          
250     -101.65       -26.87        -8.45         -8.43         0.61          
251     -103.58       -28.01        -7.97         -8.43         0.63          
252     -97.26        -21.94        -7.30         -8.43         0.64          
253     -101.98       -20.51        -3.22         -8.43         0.62          
254     -98.68        -23.47        -6.94         -8.43         0.64          
255     -94.87        -25.20        -7.63         -8.43         0.64          
256     -100.88       -24.62        -7.35         -8.43         0.63          
257     -96.98        -19.48        -9.20         -8.43         0.65          
258     -98.11        -23.80        -6.47         -8.43         0.60          
259     -102.12       -24.50        -7.30         -8.43         0.65          
260     -99.28        -26.13        -8.43         -8.43         0.66          
261     -96.06        -20.01        -4.89         -8.43         0.62          
262     -96.43        -21.66        -7.62         -8.43         0.68          
263     -102.15       -27.36        -7.27         -8.43         0.65          
264     -100.52       -24.95        -8.48         -8.43         0.65          
265     -99.87        -21.65        -6.58         -8.43         0.59          
266     -93.52        -22.20        -7.15         -8.43         0.60          
267     -92.29        -19.86        -7.58         -8.43         0.67          
268     -100.72       -20.99        -8.97         -8.43         0.62          
269     -102.25       -22.76        -8.51         -8.43         0.68          
270     -102.35       -19.34        -4.54         -8.43         0.65          
271     -91.69        -21.60        -8.93         -8.43         0.66          
272     -99.54        -18.07        -7.02         -8.43         0.61          
273     -96.18        -24.84        -9.44         -8.43         0.64          
274     -95.19        -19.88        -7.96         -8.43         0.70          
275     -91.43        -19.73        -7.70         -8.43         0.62          
276     -97.33        -23.09        -4.53         -8.43         0.66          
