experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedPendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.01
elapsed_time: 7293.344054222107

Genome Size: 160
Free Parameters: {'V': 40, 'W': 100, 'T': 10, 'x_0': 10}
Inputs: 4
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       5.00          17.06         100.00        90.36         8.31          
1       5.33          18.21         83.33         90.36         0.56          
2       5.33          18.60         75.67         90.36         0.56          
3       5.00          19.29         84.67         90.36         0.52          
4       5.33          17.03         70.67         90.36         0.56          
5       5.00          16.18         61.00         90.36         0.59          
6       5.00          18.18         74.33         90.36         0.60          
7       5.33          18.95         124.33        123.90        0.51          
8       5.00          19.63         175.67        171.46        0.66          
9       5.00          20.51         85.33         171.46        0.53          
10      5.00          18.47         79.67         171.46        0.58          
11      5.00          24.78         708.67        815.84        0.86          
12      5.33          20.40         91.00         815.84        0.49          
13      5.00          23.13         175.00        815.84        0.56          
14      5.00          26.57         157.00        815.84        0.59          
15      5.00          27.57         141.33        815.84        0.55          
16      5.00          26.73         141.67        815.84        0.53          
17      5.00          31.12         113.67        815.84        0.51          
18      4.67          33.92         170.33        815.84        0.58          
19      5.00          35.34         299.00        815.84        0.63          
20      5.00          47.37         1000.00       993.08        0.86          
21      5.00          46.58         412.67        993.08        0.66          
22      4.67          45.65         250.00        993.08        0.60          
23      4.67          55.78         1000.00       993.08        0.84          
24      4.33          52.84         366.67        993.08        0.67          
25      4.00          62.20         1000.00       993.08        0.88          
26      4.33          67.67         763.67        993.08        0.76          
27      4.00          60.61         963.00        993.08        0.75          
28      4.00          71.11         1000.00       1000.00       0.90          
29      4.00          77.13         1000.00       1000.00       1.01          
30      4.00          86.61         872.67        1000.00       1.00          
31      4.00          92.06         1000.00       1000.00       0.97          
32      4.00          92.78         1000.00       1000.00       0.95          
33      4.00          120.81        1000.00       1000.00       1.13          
34      4.00          134.29        1000.00       1000.00       1.21          
35      4.00          150.96        1000.00       1000.00       1.21          
36      4.00          134.62        1000.00       1000.00       1.19          
37      4.00          168.49        1000.00       1000.00       1.12          
38      4.00          147.66        1000.00       1000.00       1.14          
39      4.00          152.03        1000.00       1000.00       1.07          
40      4.00          143.95        1000.00       1000.00       1.15          
41      4.00          172.97        1000.00       1000.00       1.11          
42      4.00          161.32        1000.00       1000.00       1.17          
43      4.00          173.21        1000.00       1000.00       1.16          
44      4.00          208.34        1000.00       1000.00       1.22          
45      4.00          183.53        1000.00       1000.00       1.26          
46      4.00          163.55        1000.00       1000.00       1.16          
47      4.00          222.72        1000.00       1000.00       1.25          
48      4.00          276.56        1000.00       1000.00       1.44          
49      4.00          212.41        1000.00       1000.00       1.31          
50      4.00          259.36        1000.00       1000.00       1.30          
51      4.00          283.26        1000.00       1000.00       1.48          
52      4.00          230.13        1000.00       1000.00       1.37          
53      4.00          280.21        1000.00       1000.00       1.43          
54      4.00          255.28        1000.00       1000.00       1.27          
55      4.00          269.37        1000.00       1000.00       1.36          
56      4.00          243.16        1000.00       1000.00       1.35          
57      4.00          305.12        1000.00       1000.00       1.38          
58      4.00          334.89        1000.00       1000.00       1.49          
59      4.00          326.82        1000.00       1000.00       1.50          
60      4.00          338.95        1000.00       1000.00       1.46          
61      4.00          389.13        1000.00       1000.00       1.64          
62      4.00          367.26        1000.00       1000.00       1.66          
63      4.00          395.55        1000.00       1000.00       1.74          
64      4.00          446.51        1000.00       1000.00       1.97          
65      4.00          434.01        1000.00       1000.00       1.76          
66      4.00          450.86        1000.00       1000.00       1.83          
67      4.00          466.95        1000.00       1000.00       1.88          
68      4.00          476.36        1000.00       1000.00       1.97          
69      4.00          507.80        1000.00       1000.00       1.97          
70      4.00          472.21        1000.00       1000.00       1.97          
71      4.00          552.82        1000.00       1000.00       2.03          
72      4.00          536.29        1000.00       1000.00       2.04          
73      4.00          536.66        1000.00       1000.00       2.08          
74      4.00          520.34        1000.00       1000.00       2.01          
75      4.00          542.68        1000.00       1000.00       2.07          
76      4.00          557.71        1000.00       1000.00       2.09          
77      4.00          560.84        1000.00       1000.00       2.07          
78      4.00          548.18        1000.00       1000.00       2.06          
79      4.00          570.96        1000.00       1000.00       2.16          
80      4.00          583.44        1000.00       1000.00       2.07          
81      4.00          584.03        1000.00       1000.00       2.20          
82      4.00          653.90        1000.00       1000.00       2.24          
83      4.00          614.39        1000.00       1000.00       2.18          
84      4.00          663.91        1000.00       1000.00       2.33          
85      4.00          600.02        1000.00       1000.00       2.08          
86      4.00          630.67        1000.00       1000.00       2.20          
87      4.00          675.22        1000.00       1000.00       2.26          
88      4.00          608.62        1000.00       1000.00       2.16          
89      4.00          676.24        1000.00       1000.00       2.32          
90      4.00          628.38        1000.00       1000.00       2.27          
91      4.00          637.10        1000.00       1000.00       2.27          
92      4.00          642.55        1000.00       1000.00       2.18          
93      4.00          688.49        1000.00       1000.00       2.32          
94      4.00          668.54        1000.00       1000.00       2.23          
95      4.00          658.11        1000.00       1000.00       2.23          
96      4.00          702.85        1000.00       1000.00       2.46          
97      4.00          634.75        1000.00       1000.00       2.32          
98      4.00          686.93        1000.00       1000.00       2.36          
99      4.00          693.66        1000.00       1000.00       2.36          
100     4.00          661.32        1000.00       1000.00       2.26          
101     4.00          681.70        1000.00       1000.00       2.32          
102     4.00          684.12        1000.00       1000.00       2.27          
103     4.00          727.07        1000.00       1000.00       2.44          
104     4.00          680.19        1000.00       1000.00       2.29          
105     4.00          745.25        1000.00       1000.00       2.44          
106     4.00          717.52        1000.00       1000.00       2.37          
107     4.00          728.00        1000.00       1000.00       2.35          
108     4.00          735.15        1000.00       1000.00       2.40          
109     4.00          807.44        1000.00       1000.00       2.62          
110     4.00          812.64        1000.00       1000.00       2.65          
111     4.00          828.48        1000.00       1000.00       2.72          
112     4.00          799.13        1000.00       1000.00       2.55          
113     4.00          852.69        1000.00       1000.00       2.74          
114     4.00          862.41        1000.00       1000.00       2.58          
115     4.00          856.16        1000.00       1000.00       2.69          
116     4.00          897.04        1000.00       1000.00       2.89          
117     4.00          870.89        1000.00       1000.00       2.84          
