experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedDoublePendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.0
elapsed_time: 10169.159768342972

Genome Size: 220
Free Parameters: {'V': 110, 'W': 100, 'T': 10}
Inputs: 11
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       45.52         77.17         151.36        106.38        8.35          
1       42.12         75.91         172.79        123.87        0.62          
2       45.58         77.65         138.86        127.20        0.71          
3       51.44         76.04         157.28        127.20        0.54          
4       48.58         75.98         147.83        127.36        0.61          
5       48.55         81.86         142.14        127.36        0.56          
6       45.50         74.61         113.99        127.36        0.56          
7       45.59         78.04         144.29        127.36        0.54          
8       45.42         78.15         148.29        152.96        0.65          
9       45.36         77.83         150.53        152.96        0.54          
10      45.59         81.40         160.69        152.96        0.59          
11      45.14         81.15         166.43        152.96        0.53          
12      45.43         82.60         167.00        154.86        0.52          
13      45.18         83.86         182.55        154.86        0.56          
14      42.19         82.10         194.94        154.86        0.53          
15      45.15         86.38         188.90        154.86        0.51          
16      51.46         96.86         196.96        154.86        0.56          
17      45.52         96.19         190.96        154.86        0.59          
18      45.29         103.05        200.35        154.86        0.60          
19      42.17         107.35        195.07        154.86        0.56          
20      36.18         107.42        231.33        204.06        0.55          
21      45.08         106.68        175.46        204.06        0.62          
22      44.81         111.93        227.91        222.57        0.61          
23      42.32         112.28        249.53        225.18        0.57          
24      42.09         126.40        263.39        225.18        0.57          
25      36.09         116.35        259.70        225.18        0.55          
26      36.10         114.55        253.48        225.18        0.59          
27      35.57         127.88        247.34        225.18        0.56          
28      35.68         115.57        250.17        225.18        0.52          
