experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: False
elapsed_time: 24360.675575494766

Genome Size: 140
Free Parameters: {'V': 85, 'W': 25, 'T': 30}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -26.81        -6.68         71.01         67.87         8.67          
1       -22.30        -6.56         53.39         67.87         0.81          
2       -19.41        -6.16         43.64         67.87         0.78          
3       -44.03        -5.71         57.75         67.87         1.01          
4       -21.02        -3.99         107.41        67.87         0.76          
5       -22.93        -4.31         63.59         67.87         0.71          
6       -21.65        -0.12         161.36        161.06        0.86          
7       -49.96        3.19          136.77        161.06        1.04          
8       -21.04        2.48          155.01        161.06        1.02          
9       -57.43        2.84          168.81        226.28        1.01          
10      -22.21        11.14         295.96        288.12        1.10          
11      -44.19        15.01         303.88        309.07        1.19          
12      -47.10        15.90         287.29        309.07        1.09          
13      -103.14       23.76         446.04        309.07        1.33          
14      -41.61        27.44         373.38        309.07        1.57          
15      -32.48        25.21         364.25        309.07        1.43          
16      -38.04        29.40         372.90        309.07        1.51          
17      -48.14        24.11         377.32        309.07        1.48          
18      -69.50        29.80         392.63        309.07        1.43          
19      -40.59        32.76         307.06        309.07        1.55          
20      -23.86        34.40         310.63        309.07        1.51          
21      -50.43        43.29         452.03        309.07        1.74          
22      -29.03        51.94         729.98        309.07        1.82          
23      -84.82        50.29         489.82        338.31        1.61          
24      -106.86       48.24         458.54        368.01        1.72          
25      -48.26        45.01         425.82        390.81        1.70          
26      -40.42        52.89         370.82        390.81        1.44          
27      -77.66        65.41         478.11        390.81        1.88          
28      -33.71        56.89         469.90        390.81        1.72          
29      -64.25        59.63         325.36        390.81        1.47          
30      -36.97        63.89         410.77        390.81        1.52          
31      -20.83        65.57         653.90        750.92        2.35          
32      -34.59        65.91         452.70        750.92        1.69          
33      -87.08        59.87         983.46        750.92        2.51          
34      -84.26        65.87         425.56        750.92        1.71          
35      -29.37        72.91         448.87        750.92        1.79          
36      -73.14        86.76         582.72        750.92        1.86          
37      -25.62        76.60         401.04        750.92        1.74          
38      -45.29        76.52         378.15        750.92        1.55          
39      -19.92        92.68         431.67        750.92        1.81          
40      -35.04        88.87         473.59        750.92        1.78          
41      -11.61        102.78        531.43        750.92        2.09          
42      -34.58        118.73        774.07        750.92        1.92          
43      -31.58        106.55        427.57        750.92        2.04          
44      -40.74        110.39        497.32        750.92        2.02          
45      -68.03        136.40        979.85        750.92        2.78          
46      -47.02        136.17        523.73        750.92        2.44          
47      -21.26        155.27        770.15        750.92        2.56          
48      -34.63        142.95        868.16        750.92        2.46          
49      -14.59        139.98        796.43        750.92        2.43          
50      -28.22        133.36        785.04        750.92        2.37          
51      -46.26        156.67        1020.88       956.47        3.06          
52      -63.18        137.09        613.77        956.47        2.32          
53      -70.39        133.01        624.29        956.47        2.11          
54      -188.67       151.45        741.20        956.47        2.81          
55      -66.31        168.48        995.94        979.15        3.19          
56      -23.18        181.96        688.95        979.15        2.74          
57      -54.05        171.48        725.91        979.15        3.18          
58      -11.63        195.18        967.92        979.15        3.28          
59      -16.92        189.63        937.94        979.15        2.85          
60      -33.72        209.00        961.33        979.15        3.11          
61      -42.93        197.94        966.25        979.15        3.17          
62      -53.42        208.40        998.33        979.15        3.28          
63      -34.04        220.39        974.92        979.15        3.43          
64      -28.19        221.12        1033.25       979.15        3.34          
65      -24.40        261.58        1036.80       979.15        3.51          
66      -51.94        221.30        990.27        979.15        4.17          
67      -56.02        222.37        1006.17       979.15        3.74          
68      -19.45        256.16        1022.27       979.15        4.35          
69      -49.84        248.76        1015.75       1010.13       3.98          
70      -35.81        262.32        1004.08       1010.13       4.32          
71      -16.53        290.96        1011.11       1020.83       4.15          
72      -84.28        334.69        1023.53       1020.83       4.55          
73      -20.64        308.28        1027.00       1020.83       4.22          
74      -37.04        398.58        1024.36       1020.83       5.59          
75      -17.68        418.49        1032.07       1020.83       5.41          
76      -37.24        350.98        1011.72       1020.83       5.09          
77      -61.18        387.40        1045.70       1020.83       5.30          
78      -44.52        381.08        1017.37       1020.83       5.24          
79      -15.32        393.69        1039.14       1020.83       5.60          
80      -12.13        382.15        1058.91       1020.83       5.35          
81      -56.57        417.57        1052.73       1020.83       5.83          
82      -19.92        391.22        1029.51       1020.83       5.36          
83      -50.04        380.93        1060.20       1020.83       5.37          
84      -16.49        471.01        1049.46       1048.21       6.35          
85      -31.23        488.38        1050.04       1048.21       6.38          
86      -17.21        447.74        1054.81       1048.21       5.92          
87      -21.67        450.60        1054.41       1048.21       6.24          
88      -13.49        458.19        1075.74       1048.21       6.12          
89      -27.32        436.12        1053.15       1056.66       5.70          
90      -135.16       466.97        1078.74       1056.66       6.13          
91      -17.35        413.43        1077.17       1056.66       5.68          
