number_generations: 5000
number_validation_runs: 5
number_rounds: 1
maximum_env_seed: 100000
environment
	type: DummyApp
	number_time_steps: 100
brain
	type: LSTMNN
	hidden_layer_structure: [10]
	use_bias: True
optimizer
	type: CMA-ES-Deap
	population_size: 2000
	sigma: 1.0

Genome Size: 1480
Free Parameters: {'layer 0': {'input_weight_matrix': 1000, 'hidden_weight_matrix': 400, 'bias': 40}, 'output_weight_matrix': 40}
Inputs: 25
Outputs: 4

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       0.00          0.56          8.00          1.80          1.60          
1       0.00          0.64          9.00          6.80          1.81          
2       0.00          0.67          8.00          6.80          1.56          
3       0.00          0.65          8.00          6.80          1.50          
4       0.00          0.66          6.00          6.80          1.45          
5       0.00          0.70          9.00          6.80          1.48          
6       0.00          0.63          6.00          6.80          1.50          
7       0.00          0.64          8.00          6.80          1.53          
8       0.00          0.71          7.00          6.80          1.46          
9       0.00          0.70          9.00          6.80          1.46          
10      0.00          0.69          7.00          6.80          1.44          
11      0.00          0.70          7.00          6.80          1.43          
12      0.00          0.68          7.00          6.80          1.55          
13      0.00          0.71          8.00          6.80          1.55          
14      0.00          0.74          8.00          6.80          1.56          
15      0.00          0.70          6.00          6.80          1.47          
16      0.00          0.74          7.00          6.80          1.45          
17      0.00          0.76          7.00          6.80          1.74          
18      0.00          0.78          6.00          6.80          1.46          
19      0.00          0.76          8.00          6.80          1.46          
20      0.00          0.77          8.00          6.80          1.50          
21      0.00          0.79          10.00         7.40          1.57          
22      0.00          0.81          7.00          7.40          1.59          
23      0.00          0.82          8.00          7.40          1.62          
24      0.00          0.80          9.00          8.40          1.59          
25      0.00          0.87          8.00          8.40          1.58          
26      0.00          0.88          8.00          8.40          1.58          
27      0.00          0.83          7.00          8.40          1.64          
28      0.00          0.93          8.00          8.40          1.56          
29      0.00          0.90          7.00          8.40          1.45          
30      0.00          0.98          7.00          8.40          1.45          
31      0.00          0.92          9.00          8.40          1.45          
32      0.00          0.99          9.00          8.40          1.43          
33      0.00          1.03          9.00          8.40          1.44          
34      0.00          0.99          9.00          8.40          1.50          
35      0.00          1.03          9.00          8.40          1.48          
36      0.00          1.01          9.00          8.40          1.44          
37      0.00          1.01          9.00          8.40          1.44          
38      0.00          1.03          7.00          8.40          1.47          
39      0.00          1.06          8.00          8.40          1.53          
40      0.00          1.02          7.00          8.40          1.48          
41      0.00          1.06          8.00          8.40          1.55          
42      0.00          1.09          8.00          8.40          1.39          
43      0.00          1.09          8.00          8.40          1.42          
44      0.00          1.12          8.00          8.40          1.40          
45      0.00          1.16          10.00         8.40          1.44          
46      0.00          1.13          9.00          8.40          1.41          
47      0.00          1.12          7.00          8.40          1.54          
48      0.00          1.19          9.00          8.40          1.57          
49      0.00          1.19          8.00          8.40          1.52          
50      0.00          1.15          9.00          8.40          1.53          
51      0.00          1.17          9.00          8.40          1.56          
52      0.00          1.18          9.00          8.40          1.57          
53      0.00          1.20          12.00         8.40          1.57          
54      0.00          1.21          12.00         8.40          1.62          
