number_generations: 2500
number_validation_runs: 50
number_rounds: 5
maximum_env_seed: 100000
environment
	type: DummyApp
	number_time_steps: 100
	screen_width: 400
	screen_height: 400
	number_buttons_horizontal: 5
	number_buttons_vertical: 5
	buttons_size_horizontal: 50
	buttons_size_vertical: 30
brain
	type: LSTMNN
	hidden_layer_structure: [5]
	use_bias: True
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0

Genome Size: 640
Free Parameters: {'layer 0': {'input_weight_matrix': 500, 'hidden_weight_matrix': 100, 'bias': 20}, 'output_weight_matrix': 20}
Inputs: 25
Outputs: 4

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       0.00          1.25          4.80          5.04          0.92          
1       0.00          1.16          4.60          5.04          0.81          
2       0.00          1.22          4.00          5.04          0.79          
3       0.00          1.18          5.20          5.04          0.79          
4       0.00          1.30          5.60          5.04          0.79          
5       0.00          1.27          5.40          5.30          0.78          
6       0.00          1.02          4.60          5.30          0.80          
7       0.00          1.21          4.60          5.30          0.81          
8       0.00          1.36          6.00          5.80          0.80          
9       0.00          1.34          5.40          5.80          0.78          
10      0.00          1.54          5.20          5.80          0.80          
11      0.00          1.54          4.80          5.80          0.78          
12      0.00          1.62          5.20          5.80          0.82          
13      0.00          1.65          5.60          5.80          0.81          
14      0.00          1.75          5.60          5.80          0.82          
15      0.00          1.83          5.40          5.80          0.82          
16      0.00          1.69          4.80          5.80          0.80          
17      0.00          1.84          5.20          5.80          0.80          
18      0.00          2.03          5.40          5.80          0.80          
19      0.00          1.82          5.00          5.80          0.90          
20      0.00          2.04          5.60          5.80          0.83          
21      0.00          2.10          5.60          5.80          0.79          
22      0.00          2.00          5.00          5.86          0.80          
23      0.00          2.00          5.60          5.86          0.81          
24      0.00          2.06          5.80          5.86          0.81          
25      0.00          2.16          5.60          5.86          0.80          
26      0.00          2.06          5.00          5.86          0.82          
27      0.00          2.19          5.20          5.86          0.83          
28      0.00          2.31          6.60          6.08          0.83          
29      0.00          2.30          7.00          6.08          0.82          
30      0.00          2.30          6.60          6.08          0.81          
31      0.00          2.26          5.40          6.08          0.80          
32      0.00          2.28          5.20          6.08          0.82          
33      0.00          2.49          6.00          6.08          0.84          
