number_generations: 2500
number_validation_runs: 50
number_rounds: 5
maximum_env_seed: 100000
environment
	type: DummyApp
	number_time_steps: 100
	screen_width: 400
	screen_height: 400
	number_buttons_horizontal: 5
	number_buttons_vertical: 5
	buttons_size_horizontal: 50
	buttons_size_vertical: 30
brain
	type: GRUNN
	hidden_layer_structure: [50]
	use_bias: True
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0

Genome Size: 11600
Free Parameters: {'layer 0': {'input_weight_matrix': 3750, 'hidden_weight_matrix': 7500, 'bias': 150}, 'output_weight_matrix': 200}
Inputs: 25
Outputs: 4

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       0.00          1.98          4.00          1.00          9.45          
1       0.00          2.04          4.20          4.68          9.24          
2       0.00          1.97          4.80          4.68          9.28          
3       0.00          2.03          4.00          4.68          9.28          
4       0.00          2.09          4.00          4.68          9.27          
5       0.00          2.05          4.00          4.68          9.31          
6       0.20          2.03          5.20          4.68          9.27          
7       0.00          2.10          4.20          4.68          9.29          
8       0.00          2.12          4.60          4.68          9.32          
9       0.00          2.02          4.60          4.68          9.27          
10      0.00          2.02          4.20          4.68          9.32          
11      0.20          1.96          4.40          4.68          9.29          
12      0.20          2.11          5.20          4.68          9.31          
13      0.00          2.09          4.40          4.68          9.31          
14      0.00          2.21          5.00          4.68          9.31          
15      0.00          2.15          5.80          4.68          9.31          
16      0.00          2.28          4.80          4.68          9.33          
17      0.00          2.26          5.00          4.68          9.31          
18      0.00          2.12          4.00          4.68          9.34          
19      0.00          2.18          4.40          4.68          9.35          
20      0.00          2.17          4.60          4.68          9.39          
21      0.00          2.32          4.60          4.68          9.42          
22      0.00          2.25          4.40          4.68          9.46          
23      0.20          2.31          5.20          4.68          9.33          
24      0.00          2.33          4.40          4.68          9.33          
25      0.00          2.39          5.00          4.68          9.32          
26      0.00          2.29          4.80          4.68          9.31          
27      0.00          2.39          4.60          4.68          9.36          
28      0.00          2.44          4.80          4.68          9.62          
29      0.20          2.45          4.60          4.68          9.44          
30      0.20          2.57          5.00          4.68          9.37          
31      0.20          2.52          4.60          4.68          9.39          
32      0.00          2.50          4.60          4.68          9.36          
33      0.00          2.46          4.60          4.68          9.36          
34      0.20          2.61          5.00          4.68          9.49          
35      0.00          2.49          4.80          4.68          9.48          
36      0.20          2.49          5.00          4.68          9.49          
37      1.00          2.55          5.00          4.68          9.50          
38      0.80          2.63          5.40          4.68          9.44          
39      0.00          2.51          4.80          4.68          9.52          
40      0.20          2.65          4.80          4.68          9.47          
41      0.00          2.72          5.00          4.68          9.45          
42      1.00          2.85          5.20          4.68          9.49          
43      1.00          2.65          4.80          4.68          9.48          
44      1.00          2.75          5.00          4.68          9.46          
45      0.00          2.72          5.60          4.68          9.44          
46      0.00          2.66          4.80          4.68          9.49          
47      1.20          2.76          5.20          4.68          9.49          
