number_generations: 5000
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: DummyApp
	number_time_steps: 100
	screen_width: 400
	screen_height: 400
	number_buttons_horizontal: 5
	number_buttons_vertical: 5
	buttons_size_horizontal: 50
	buttons_size_vertical: 30
brain
	type: ELMANNN
	hidden_layer_structure: [20]
	use_bias: True
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5

Genome Size: 1000
Free Parameters: {'layer 0': {'input_weight_matrix': 500, 'hidden_weight_matrix': 400, 'bias': 20}, 'output_weight_matrix': 80}
Inputs: 25
Outputs: 4

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       0.00          2.38          6.33          4.96          0.65          
1       0.00          2.25          6.33          4.96          0.59          
2       0.00          2.33          5.67          4.96          0.57          
3       0.00          2.09          6.00          4.96          0.57          
4       0.00          2.23          7.33          4.96          0.57          
5       0.00          2.32          6.33          4.96          0.57          
6       0.00          2.27          6.67          5.02          0.58          
7       0.00          2.30          6.00          5.02          0.60          
8       0.00          2.27          6.00          5.72          0.58          
9       0.00          2.31          6.00          5.72          0.59          
10      0.00          2.56          6.00          5.72          0.60          
11      0.00          2.54          8.00          5.72          0.59          
12      0.00          2.44          5.67          5.72          0.57          
13      0.00          2.56          6.00          5.72          0.57          
14      0.00          2.56          6.33          5.72          0.61          
15      0.00          2.63          6.67          5.72          0.59          
16      0.00          2.50          5.67          5.72          0.58          
17      0.00          2.56          6.00          5.72          0.59          
18      0.00          2.72          7.33          5.72          0.60          
19      0.00          2.70          7.00          5.72          0.58          
20      0.00          2.64          5.67          5.72          0.63          
21      0.00          2.68          6.00          5.72          0.57          
22      0.00          2.69          6.67          5.72          0.56          
23      0.00          2.70          6.00          5.72          0.57          
24      0.33          2.85          6.00          5.72          0.60          
25      0.00          2.89          6.67          5.72          0.57          
26      0.00          2.94          6.33          5.72          0.59          
27      0.00          2.81          6.00          5.72          0.60          
28      0.67          2.79          6.33          5.72          0.59          
29      0.00          2.86          6.00          5.72          0.59          
30      0.00          2.75          6.33          5.72          0.66          
31      0.00          2.96          6.33          5.72          0.57          
32      0.00          2.85          6.33          5.72          0.60          
33      0.33          2.90          5.67          5.72          0.60          
34      0.33          3.02          7.00          5.72          0.59          
35      0.33          3.18          6.00          5.72          0.59          
36      0.00          3.17          6.33          5.72          0.61          
37      0.33          3.10          6.00          5.72          0.59          
38      0.00          3.20          6.67          5.72          0.60          
39      0.00          3.13          6.33          5.72          0.60          
40      1.00          3.14          6.67          5.72          0.60          
41      0.67          3.19          6.33          5.72          0.61          
42      0.33          2.97          6.33          5.72          0.57          
43      0.00          3.23          6.67          5.72          0.56          
44      0.00          3.23          6.33          5.72          0.60          
45      0.00          3.34          6.00          5.72          0.60          
46      0.33          3.17          6.67          5.72          0.58          
47      0.67          3.12          6.00          5.72          0.59          
48      0.00          3.35          6.67          5.72          0.60          
49      0.33          3.12          5.67          5.72          0.60          
50      0.67          3.18          6.00          5.72          0.59          
51      1.00          3.34          6.33          5.72          0.59          
52      1.00          3.19          6.33          5.72          0.59          
53      0.00          3.24          6.00          5.72          0.59          
54      1.00          3.33          6.67          5.72          0.59          
55      1.00          3.18          6.33          5.72          0.61          
56      1.00          3.33          6.67          5.72          0.59          
57      0.00          3.30          6.00          5.72          0.60          
58      1.00          3.53          6.67          5.72          0.59          
59      1.00          3.37          6.33          5.72          0.58          
60      0.00          3.40          6.33          5.72          0.59          
61      0.67          3.28          6.33          5.72          0.59          
62      1.00          3.45          6.33          5.72          0.61          
63      1.00          3.42          6.33          5.72          0.61          
64      0.00          3.27          6.33          5.72          0.61          
65      1.00          3.46          6.67          5.72          0.59          
66      1.33          3.58          7.00          5.72          0.59          
67      1.00          3.35          6.00          5.72          0.58          
68      1.00          3.46          6.33          5.72          0.61          
69      1.00          3.30          6.00          5.72          0.61          
70      1.00          3.43          7.33          5.72          0.61          
71      1.00          3.28          6.00          5.72          0.60          
72      0.67          3.39          5.67          5.72          0.61          
73      1.00          3.67          6.67          5.72          0.58          
74      1.00          3.38          6.67          5.72          0.60          
75      1.00          3.55          7.33          5.72          0.59          
76      1.00          3.47          6.67          5.72          0.58          
77      1.00          3.55          6.00          5.72          0.60          
78      1.00          3.53          6.00          5.72          0.59          
79      1.00          3.42          6.33          5.72          0.60          
80      1.00          3.41          6.67          5.72          0.59          
81      0.67          3.60          7.00          5.72          0.60          
82      1.00          3.59          6.33          5.72          0.58          
83      1.00          3.44          6.67          5.72          0.58          
84      1.00          3.66          7.00          5.72          0.58          
85      1.00          3.67          7.00          5.72          0.60          
86      1.00          3.61          6.67          5.72          0.57          
87      0.67          3.56          6.33          5.72          0.59          
88      0.67          3.65          6.00          5.72          0.57          
89      1.00          3.63          7.00          5.72          0.57          
90      1.00          3.43          6.33          5.72          0.58          
91      1.00          3.55          6.67          5.72          0.58          
92      1.00          3.45          7.00          5.72          0.58          
93      1.00          3.56          6.67          5.72          0.59          
94      1.00          3.58          7.00          5.72          0.56          
95      0.67          3.39          6.67          5.72          0.59          
96      1.00          3.50          7.00          5.72          0.69          
97      1.00          3.49          6.00          5.72          0.66          
98      1.00          3.67          6.33          5.72          0.59          
99      1.00          3.54          6.33          5.72          0.61          
100     0.33          3.53          7.00          5.72          0.60          
101     1.00          3.50          6.67          5.72          0.57          
102     1.67          3.69          6.33          5.72          0.63          
103     1.00          3.46          6.33          5.72          0.61          
104     1.00          3.56          6.33          5.72          0.60          
105     0.33          3.46          6.33          5.72          0.60          
106     0.67          3.54          6.67          5.72          0.61          
107     1.00          3.57          6.33          5.72          0.65          
108     0.33          3.44          6.67          5.72          0.67          
109     1.33          3.67          7.33          5.72          0.60          
110     1.00          3.64          6.67          5.72          0.62          
111     1.00          3.36          6.33          5.72          0.60          
112     1.00          3.60          6.67          5.72          0.58          
113     1.00          3.52          7.00          5.72          0.59          
114     1.00          3.48          6.33          5.72          0.66          
115     1.00          3.60          6.67          5.72          0.56          
116     1.00          3.49          7.33          5.72          0.56          
117     1.00          3.66          6.33          5.72          0.57          
118     1.00          3.52          7.00          5.72          0.60          
119     1.00          3.54          7.67          5.72          0.58          
120     1.00          3.63          6.67          5.72          0.59          
121     1.00          3.71          6.33          5.72          0.58          
122     1.00          3.68          6.67          5.72          0.59          
123     1.00          3.59          6.33          5.72          0.59          
124     1.00          3.52          6.67          5.72          0.58          
125     1.00          3.53          7.00          5.72          0.58          
126     1.00          3.52          6.33          5.72          0.57          
127     1.00          3.62          6.00          5.72          0.59          
128     1.00          3.52          6.00          5.72          0.57          
129     1.00          3.53          7.33          5.72          0.60          
130     1.00          3.62          7.00          5.72          0.59          
131     1.00          3.63          7.00          5.72          0.59          
